Combination,Combination ID,Run,Generation,Fitness
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,1,1.25238
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,2,1.30857
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,3,1.30857
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,4,1.3547599999999997
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,5,1.3547599999999997
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,6,1.3547599999999997
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,7,1.3547599999999997
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,8,1.3547599999999997
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,9,1.3547599999999997
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,10,1.3547599999999997
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,11,1.3547599999999997
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,12,1.3547599999999997
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,13,1.3547599999999997
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,14,1.35643
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,15,1.36667
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,16,1.36738
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,17,1.40881
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,18,1.40881
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,19,1.40881
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,20,1.40881
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,21,1.40881
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,22,1.40881
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,23,1.40881
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,24,1.40881
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,25,1.40881
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,26,1.40881
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,27,1.40881
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,28,1.41096
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,29,1.41096
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,30,1.41096
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,31,1.41096
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,32,1.42167
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,33,1.42167
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,34,1.42167
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,35,1.42167
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,36,1.42167
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,37,1.42167
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,38,1.42167
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,39,1.42167
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,40,1.42167
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,41,1.42167
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,42,1.42167
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,43,1.42167
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,44,1.42167
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,45,1.42167
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,46,1.4231
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,47,1.4231
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,48,1.4231
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,49,1.4231
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,50,1.4231
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,1,1.2708100000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,2,1.2708100000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,3,1.2708100000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,4,1.27747
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,5,1.29629
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,6,1.29629
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,7,1.29629
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,8,1.29629
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,9,1.29629
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,10,1.29847
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,11,1.31119
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,12,1.3219
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,13,1.3219
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,14,1.3219
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,15,1.33904
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,16,1.33904
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,17,1.33904
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,18,1.33904
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,19,1.33904
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,20,1.33904
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,21,1.3428600000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,22,1.3428600000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,23,1.35547
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,24,1.3688999999999998
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,25,1.3688999999999998
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,26,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,27,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,28,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,29,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,30,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,31,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,32,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,33,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,34,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,35,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,36,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,37,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,38,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,39,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,40,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,41,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,42,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,43,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,44,1.4196700000000002
